Hour,City,Temperature (°C)
2024-12-08T01:00,Rio de Janeiro,27.1
2024-12-08T02:00,Rio de Janeiro,26.3
2024-12-08T03:00,Rio de Janeiro,26.0
2024-12-08T04:00,Rio de Janeiro,25.7
2024-12-08T05:00,Mumbai,27.2
2024-12-08T06:00,Mumbai,28.3
2024-12-08T07:00,Mumbai,29.3
2024-12-08T08:00,Mumbai,30.0
2024-12-08T09:00,Mumbai,30.3
2024-12-08T10:00,Mumbai,30.1
2024-12-08T11:00,Mumbai,29.4
2024-12-08T12:00,Rio de Janeiro,31.0
2024-12-08T13:00,Rio de Janeiro,33.2
2024-12-08T14:00,Rio de Janeiro,34.1
2024-12-08T15:00,Rio de Janeiro,33.2
2024-12-08T16:00,Rio de Janeiro,32.7
2024-12-08T17:00,Rio de Janeiro,31.9
2024-12-08T18:00,Rio de Janeiro,30.3
2024-12-08T19:00,Rio de Janeiro,29.0
2024-12-08T20:00,Rio de Janeiro,27.5
2024-12-08T21:00,Rio de Janeiro,26.4
2024-12-08T22:00,Rio de Janeiro,25.7
2024-12-08T23:00,Rio de Janeiro,25.3
2024-12-09T00:00,Rio de Janeiro,25.1
2024-12-09T01:00,Rio de Janeiro,24.9
2024-12-09T02:00,Rio de Janeiro,24.8
2024-12-09T03:00,Rio de Janeiro,24.7
2024-12-09T04:00,Rio de Janeiro,24.6
2024-12-09T05:00,Mumbai,24.9
2024-12-09T06:00,Mumbai,27.4
2024-12-09T07:00,Mumbai,28.8
2024-12-09T08:00,Mumbai,29.5
2024-12-09T09:00,Mumbai,29.8
2024-12-09T10:00,Mumbai,29.6
2024-12-09T11:00,Cape Town,29.8
2024-12-09T12:00,Cape Town,30.5
2024-12-09T13:00,Rio de Janeiro,30.1
2024-12-09T14:00,Rio de Janeiro,31.7
2024-12-09T15:00,Rio de Janeiro,33.1
2024-12-09T16:00,Rio de Janeiro,34.3
2024-12-09T17:00,Rio de Janeiro,35.1
2024-12-09T18:00,Rio de Janeiro,34.9
2024-12-09T19:00,Rio de Janeiro,32.8
2024-12-09T20:00,Rio de Janeiro,29.6
2024-12-09T21:00,Rio de Janeiro,27.1
2024-12-09T22:00,Rio de Janeiro,25.9
2024-12-09T23:00,Rio de Janeiro,25.4
2024-12-10T00:00,Rio de Janeiro,25.1
2024-12-10T01:00,Sydney,25.9
2024-12-10T02:00,Sydney,28.2
2024-12-10T03:00,Sydney,29.8
2024-12-10T04:00,Sydney,30.4
2024-12-10T05:00,Sydney,30.3
2024-12-10T06:00,Sydney,29.6
2024-12-10T07:00,Mumbai,30.0
2024-12-10T08:00,Mumbai,31.4
2024-12-10T09:00,Mumbai,32.0
2024-12-10T10:00,Mumbai,31.6
2024-12-10T11:00,Mumbai,30.5
2024-12-10T12:00,Mumbai,29.2
2024-12-10T13:00,Mumbai,28.0
2024-12-10T14:00,Rio de Janeiro,28.4
2024-12-10T15:00,Rio de Janeiro,28.6
2024-12-10T16:00,Rio de Janeiro,28.3
2024-12-10T17:00,Rio de Janeiro,27.7
2024-12-10T18:00,Rio de Janeiro,27.0
2024-12-10T19:00,Rio de Janeiro,26.3
2024-12-10T20:00,Rio de Janeiro,25.5
2024-12-10T21:00,Rio de Janeiro,24.8
2024-12-10T22:00,Sydney,24.8
2024-12-10T23:00,Sydney,28.1
